samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,1,4000,3,0,1,MLPClassifier,2.003987156455292,1.9897119284664544,0.0083483401666589,1.9732243821268955,1.0
10,2,2,1,1,4000,4,1,0,MLPClassifier,0.1908785907323566,0.1760557736833576,0.0076335128490317,0.1658759094851121,1.0
10,2,2,1,1,4000,4,1,1,MLPClassifier,0.0261548948006456,0.0145034170567238,0.0079174932463848,0.0001124525532303,1.0
10,2,2,1,1,4000,5,1,0,MLPClassifier,0.327865039769214,0.313877056435427,0.0069013717243481,0.3055727322405455,1.0
10,2,2,1,1,4000,5,1,1,MLPClassifier,0.02565097831334,0.0136126250612678,0.0075694842391974,0.0001124525532303,1.0
10,2,2,1,1,4000,6,1,0,MLPClassifier,0.2425751642831047,0.2309102068222005,0.0054132531553238,0.2236776793223811,1.0
10,2,2,1,1,4000,6,1,1,MLPClassifier,0.0239918567682728,0.0126398410832432,0.0065354483467438,2.8440930002204823e-05,1.0
10,2,2,1,1,4000,7,1,0,MLPClassifier,0.1896313807533928,0.1755941124394387,0.0074851352402475,0.1642940729789248,1.0
10,2,2,1,1,4000,7,1,1,MLPClassifier,0.0245830342640173,0.0137953956006953,0.0071595066441486,2.8440930002204823e-05,1.0
10,2,2,1,1,4000,8,1,0,MLPClassifier,0.2911778833879945,0.2785136643409887,0.0067593207847088,0.270483566176414,1.0
10,2,2,1,1,4000,8,1,1,MLPClassifier,0.0250862743942839,0.0138884001836215,0.0073863221047395,2.8440930002204823e-05,1.0
10,2,2,1,1,4000,9,0,0,MLPClassifier,0.0248028099563222,0.0133851932817728,0.0072391570930404,2.8440930002648912e-05,1.0
10,2,2,1,1,4000,9,0,1,MLPClassifier,2.9419903493552693,2.919987532994013,0.0131552412794031,2.896335766862532,1.0
10,2,2,1,1,8000,0,1,0,MLPClassifier,0.2379438224082508,0.2226920055211279,0.0072783725796562,0.2134249694124592,1.0
10,2,2,1,1,8000,0,1,1,MLPClassifier,0.0200176418679034,0.0110686971108125,0.0057460624864671,1.375188697561036e-05,1.0
