samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,4,2,1,1,2000,1,0,1,MLPClassifier,0.3105500498736527,0.30563565682721,0.0040922571038067,0.2928820395294227,1.0
10,4,2,1,1,2000,2,1,0,MLPClassifier,0.6420579131910372,0.5994305673212724,0.0267398102186192,0.5412980900974179,1.0
10,4,2,1,1,2000,2,1,1,MLPClassifier,0.0580839177425123,0.0310288590725574,0.0162163708978557,0.0005967546313845,1.0
10,4,2,1,1,2000,3,0,0,MLPClassifier,0.0426974600631211,0.0205726813912286,0.0120823948838628,0.0010775050401434,1.0
10,4,2,1,1,2000,3,0,1,MLPClassifier,0.0648337958167206,0.0399951676897897,0.0149779804809591,0.0100800994413158,1.0
10,4,2,1,1,2000,4,0,0,MLPClassifier,0.0390960786498544,0.0205955986721998,0.0111706771708497,0.0005197379559016,1.0
10,4,2,1,1,2000,4,0,1,MLPClassifier,1.4980890877179285,1.4757293299544738,0.0136196004330068,1.4532546675649485,1.0
10,4,2,1,1,2000,5,1,0,MLPClassifier,1.622196160907998,1.6060037355119583,0.0091019086456347,1.588508722609357,1.0
10,4,2,1,1,2000,5,1,1,MLPClassifier,0.0481343208808335,0.0274122991258512,0.0139660842778742,0.000547093839073,1.0
10,4,2,1,1,2000,6,0,0,MLPClassifier,0.0493085004600677,0.027209534410185,0.0135521652005006,0.0001515683455554,1.0
10,4,2,1,1,2000,6,0,1,MLPClassifier,1.5284434069674062,1.5073553386430891,0.0137130220375801,1.475381363990108,1.0
10,4,2,1,1,2000,7,0,0,MLPClassifier,0.0290823948713259,0.014499382320002,0.0081476654522916,0.0006354220053997,1.0
10,4,2,1,1,2000,7,0,1,MLPClassifier,1.2052507629103384,1.1855445222282994,0.0113821392245743,1.1664891017823351,1.0
10,4,2,1,1,2000,8,0,0,MLPClassifier,0.032233204921616,0.0168358148268036,0.0093827430825185,0.0002635672948012,1.0
10,4,2,1,1,2000,8,0,1,MLPClassifier,1.2190753428412096,1.2055546264805836,0.0063699735816053,1.198701964723425,1.0
10,4,2,1,1,2000,9,0,0,MLPClassifier,0.0303978228482568,0.0147879757247983,0.0088763430094313,0.0001356523648232,1.0
